latitude,longitude,year,total_wood_chucked_lbs,type
41.2,-76.4,2021,375.1192861358164,historical
41.2,-75.9,2021,31353.08999366638,historical
41.2,-75.5,2021,1532.125894856275,historical
41.2,-75.4,2021,5187.849541652876,historical
41.2,-75.3,2021,2093.608466013875,historical
41.3,-80.5,2021,2427.487659976443,historical
41.3,-77.0,2021,1048.258528683151,historical
41.3,-76.0,2021,14691.273656024136,historical
41.3,-75.9,2021,420.67150601544097,forecast
41.3,-75.1,2021,1919.0304018923844,forecast
41.4,-80.4,2021,5990.04896035967,historical
41.4,-79.8,2021,2593.04896427786,historical
41.4,-78.6,2021,4518.991669967116,historical
41.4,-76.1,2021,687.4069009303803,historical
41.4,-75.7,2021,504.4716603434069,historical
41.4,-75.6,2021,272.697963297006,historical
41.4,-75.2,2021,124.62916209264134,historical
41.5,-80.0,2021,12359.983230548954,forecast
41.5,-75.7,2021,225.43906388973312,historical
41.5,-75.2,2021,803.9148023963654,historical
41.6,-80.2,2021,351.0701177360759,forecast
41.6,-80.0,2021,505.4191381113382,historical
41.6,-75.7,2021,0.3142507310096302,historical
41.7,-80.1,2021,843.7009926913088,historical
41.7,-77.8,2021,838.6223228866205,forecast
41.8,-79.1,2021,119.85055310004651,forecast
41.8,-78.0,2021,3224.610236046424,historical
41.8,-76.8,2021,229.27386792303108,historical
41.9,-80.1,2021,1982.2715585258693,historical
41.9,-79.2,2021,978.7676536114611,forecast
41.9,-75.4,2021,28.35344941440273,historical
42.0,-80.2,2021,1590.0582927764365,historical
42.0,-78.7,2021,1839.111054453464,historical
42.2,-79.9,2021,978.7676536114611,forecast
39.7,-77.3,2022,1277.4611612929152,forecast
39.7,-76.1,2022,965.5541627936611,forecast
39.8,-79.9,2022,1116.472597688794,forecast
39.8,-77.8,2022,519.0105247735089,forecast
39.8,-77.4,2022,1116.472597688794,forecast
39.8,-77.0,2022,235294.74451784827,forecast
39.8,-76.9,2022,1390.1404164608794,historical
39.8,-75.9,2022,965.5541627936611,forecast
39.8,-75.4,2022,330.06799442821483,historical
39.8,-75.1,2022,8.54679983394789,historical
39.9,-79.6,2022,30208.926144972116,forecast
39.9,-77.3,2022,5708.006856644936,historical
39.9,-76.8,2022,9632.434187786075,historical
39.9,-76.7,2022,28436.73810246479,historical
39.9,-75.6,2022,583.3893365740066,historical
39.9,-75.5,2022,810.2636316955392,historical
39.9,-75.4,2022,1601.4392387191847,historical
39.9,-75.3,2022,1224.3954541651492,historical
39.9,-75.2,2022,2012.324961158466,historical
39.9,-75.1,2022,1261.7583431974113,forecast
39.9,-75.0,2022,9493.312901659025,forecast
40.0,-80.0,2022,9981.137204651814,forecast
40.0,-79.9,2022,4953.738236969535,historical
40.0,-79.2,2022,598.2759883763523,historical
40.0,-78.6,2022,9981.137204651812,forecast
40.0,-78.2,2022,9981.137204651814,forecast
40.0,-77.6,2022,13241.352915852876,forecast
40.0,-77.5,2022,13241.35291585288,forecast
40.0,-77.1,2022,13241.352915852878,forecast
40.0,-76.7,2022,31138.582193138325,historical
40.0,-76.6,2022,4984.646774456735,forecast
40.0,-76.3,2022,9178.697553712553,historical
40.0,-76.0,2022,55323.627079856546,forecast
40.0,-75.9,2022,13824.753015800621,forecast
40.0,-75.5,2022,378.2633138471971,historical
40.0,-75.4,2022,604.5577347460007,historical
40.0,-75.3,2022,1338.9893611289883,historical
40.0,-75.2,2022,4407.833199930171,historical
40.0,-75.1,2022,7345.410253342861,historical
40.0,-75.0,2022,206.06458203576267,historical
40.0,-74.9,2022,3172.015527241276,forecast
40.1,-80.5,2022,6367.78102377275,forecast
40.1,-79.9,2022,8189.5730417350205,historical
40.1,-79.6,2022,13398.789010518745,forecast
40.1,-79.5,2022,603.1598739957511,historical
40.1,-78.9,2022,749.4724876653197,historical
40.1,-78.5,2022,6367.781023772744,forecast
